Field_in_data,Description_of_information,Filling,At_the_time_of_the_request,Place_of_definition,Note
id,Идентификатор заявки,Обязательно,Известно,Определяется системой учета заявок в момент регистрации,
loan_amount,Сумма кредита в заявке,Обязательно,Известно,Указывает заемщик,
loan_days,Срок погашения кредита в заявке,Обязательно,Известно,Указывает заемщик,
applied_at,Дата и время принятия заявки,Обязательно,Известно,Определяется при подаче заявки,Локальное время на устройстве пользователя или это время системы приема заявок?
language,,,,Определяется браузером при подаче заявки,Всегда RU
purpose_id,ID цели использования кредита,Обязательно,Известно,,"Всегда 999 - 999 это клиент вписывает сам назначение, раньше можно было выбирать из списка"
purpose_other,Цель использования кредита,Обязательно,Известно,Указывает заемщик,
ip,"IP клиента, с которого пришел запрос",Обязательно,Известно,Определяется браузером при подаче заявки,
user_agent,Техническая информация об устройстве клиента,Обязательно,Известно,Определяется браузером при подаче заявки,
referral,"Сайт, с которого пользователь пришел на страницу заявки",,Известно,Определяется браузером при подаче заявки,
maiden_name,не используется,,,,Всегда пустое
gender_id,Пол заемщика,Обязательно,Известно,Указывает заемщик,Нужна расшифровка id
birth_date,Дата рождения заемщика,Обязательно,Известно,Указывает заемщик,Иногда заполнена неправильно
marital_status_id,Семейный статус заемщика,Обязательно,Известно,Указывает заемщик,Нужна расшифровка id
children_count_id,Количество детей у заемщика,Обязательно,Известно,Указывает заемщик,Нужна расшифровка id
education_id,Уровень образования заемщика,Обязательно,Известно,Указывает заемщик,Нужна расшифровка id
passport_number,Номер паспорта,Обязательно,Известно,Указывает заемщик,Должен быть заполнен
passport_date,Дата выдачи паспорта,Обязательно,Известно,Указывает заемщик,Должна быть заполнена правильно
passport_issued_by,Кем выдан паспорт,,Известно,Указывает заемщик,
social_number,ИНН заемщика,Обязательно,Известно,Указывает заемщик,Должен быть заполнен
email,email заемщика,Обязательно,Известно,Указывает заемщик,Должен быть заполнен
phone_mobile,Мобильный телефон заемщика,Обязательно,Известно,Указывает заемщик,Должен быть заполнен
social_accounts,Ссылки на профили в соцсетях,,,???,Будет ли информация на момент заявки?
addr_region_id,Адрес регистрации: область,Обязательно,Известно,Указывает заемщик,Нужна расшифровка id
addr_postcode,Адрес регистрации: почтовый индекс,,Известно,Указывает заемщик,
addr_city,Адрес регистрации: город,,Известно,Указывает заемщик,
addr_street_type_id,Адрес регистрации: тип улицы,,Известно,Указывает заемщик,
addr_street,Адрес регистрации: улица,,Известно,Указывает заемщик,
addr_house,Адрес регистрации: номер дома,,Известно,Указывает заемщик,
addr_building,Адрес регистрации: номер здания,,Известно,Указывает заемщик,
addr_flat,Адрес регистрации: номер квартиры,,Известно,Указывает заемщик,
addr_phone,Адрес регистрации: номер телефона,,Известно,Указывает заемщик,
addr_owner_type_id,Адрес регистрации: тип собственности,Обязательно,Известно,Указывает заемщик,Нужна расшифровка id
addr_registration_date,Адрес регистрации: дата регистрации,Обязательно,Известно,Указывает заемщик,Должна быть заполнена правильно
fact_addr_same,Адрес проживания и адрес регистрации совпадают,Обязательно,Известно,Указывает заемщик,
fact_addr_region_id,Адрес проживания: область,Обязательно,Известно,Указывает заемщик,
fact_addr_postcode,Адрес проживания: почтовый индекс,,Известно,Указывает заемщик,
fact_addr_city,Адрес проживания: город,,Известно,Указывает заемщик,
fact_addr_street_type_id,Адрес проживания: тип улицы,,Известно,Указывает заемщик,
fact_addr_street,Адрес проживания: улица,,Известно,Указывает заемщик,
fact_addr_house,Адрес проживания: номер дома,,Известно,Указывает заемщик,
fact_addr_building,Адрес проживания: номер здания,,Известно,Указывает заемщик,
fact_addr_flat,Адрес проживания: номер квартиры,,Известно,Указывает заемщик,
fact_addr_phone,Адрес проживания: номер телефона,,Известно,Указывает заемщик,
fact_addr_owner_type_id,Адрес проживания: тип собственности,,Известно,Указывает заемщик,Нужна расшифровка id
fact_addr_start_date,Адрес регистрации: дата начала проживания,,Известно,Указывает заемщик,
has_immovables,Владеет недвижимостью,Обязательно,Известно,Указывает заемщик,
has_movables,Владеет транспортным средством,Обязательно,Известно,Указывает заемщик,
employment_type_id,Место работы: Тип занятости,,Известно,Указывает заемщик,Нужна расшифровка id
position_id,Место работы: тип должности,,Известно,Указывает заемщик,Нужна расшифровка id
position_other,Место работы: дополнительная информация для типа 999,,Известно,Указывает заемщик,
organization,Место работы: название организации,,Известно,Указывает заемщик,
organization_type_id,Место работы: тип организации,,Известно,Указывает заемщик,Нужна расшифровка id
organization_type_other,Место работы: дополнительная информация для типа 999,,Известно,Указывает заемщик,
organization_branch_id,Место работы: отрасль организации,,Известно,Указывает заемщик,Нужна расшифровка id
organization_branch_other,Место работы: дополнитльная информация для типа 999,,Известно,Указывает заемщик,
empoyees_count_id,Место работы: количество сотрудников организации,,Известно,Указывает заемщик,Нужна расшифровка id
employment_date,Место работы: дата начала работы,,Известно,Указывает заемщик,Должна быть заполнена правильно
seniority_years,Трудовой стаж,Обязательно,Известно,Указывает заемщик,Должен быть указан правильно
spd_reg_phone,ФОП: телефон регистрации,,Известно,Указывает заемщик,
spd_reg_date,ФОП: дата регистрации,,Известно,Указывает заемщик,
work_phone,Рабочий телефон,,Известно,Указывает заемщик,
has_prior_employment,есть предыдущее место работы,,Известно,Указывает заемщик,
prior_organization_name,Название предыдущей организации,,Известно,Указывает заемщик,
prior_employment_start_date,Дата начала работы на предыдущем месте,,Известно,Указывает заемщик,
prior_employment_end_date,Дата завершения работы на предыдущем месте,,Известно,Указывает заемщик,
monthly_income,Ежемесячные доходы,Обязательно,Известно,Указывает заемщик,
income_frequency_id,Частота получения дохода,Обязательно,Известно,Указывает заемщик,
income_frequency_other,Дополнительная информация о частоте дохода,,Известно,Указывает заемщик,
income_source_id,Источник получения дохода,Обязательно,Известно,Указывает заемщик,
income_source_other,Дополнительная информация об источнике дохода,,Известно,Указывает заемщик,
monthly_expenses,Ежемесячные расходы,Обязательно,Известно,Указывает заемщик,
other_loans_has_closed,Все другие займы погашены,,Известно,Указывает заемщик,
other_loans_active,Есть непогашенные займы,,Известно,Указывает заемщик,
other_loans_about_current,Общий размер непогашенных займов,,Известно,Указывает заемщик,
other_loans_about_monthly,Ежемесячные выплаты по непогашенным займам,,Известно,Указывает заемщик,
extended,json дополнительная информация из учетной системы,,Известно для повторных,,
status_id,"5- закрытый, 4 - действующий не просроченный, 6- активный просроченный",,Неизвестно,Назначается системой обработки заявок,
loan_closed,Займ закрыт,,Неизвестно,Назначается системой обработки заявок,
loan_overdue,Займ просрочен,,Неизвестно,Назначается системой обработки заявок,
loan_status_id,не используем,,Неизвестно,Назначается системой обработки заявок,
decision_status_id,статус решения по заявки,,???,поля связанные с принятием решения,
decision_application_id,id в нашей системе принятия решения,,???,,
decision_flow_id,id процесса кредитной политики,,???,,
decision_is_exported,экспорт флаг,,???,,
decision_exported_at,экспорт дата,,???,,
product_id,"id продукта, который выдается клиенту",Обязательно,???,параметры связанные с выданным продуктом,
product_dpr,процентная ставка по кредиту,,???,параметры связанные с выданным продуктом,
product_amount_from,Нижний предел вида займа,Обязательно,???,параметры связанные с выданным продуктом,
product_amount_to,Верхний предел вида займа,Обязательно,???,параметры связанные с выданным продуктом,
product_overdue_dpr                ,процентная ставка по кредиту при просрочке,,???,параметры связанные с выданным продуктом,
product_interest_min,минимальная сумма по продукту,,???,параметры связанные с выданным продуктом,
product_overdue_start_day          ,кол-во дней отсрочки,,???,параметры связанные с выданным продуктом,
product_base_amount_limit,лимит суммы по продукту,,???,параметры связанные с выданным продуктом,
amount_limit,лимит суммы,,???,параметры связанные с выданным продуктом,
applied_limit,утвержденные лимит,,???,параметры связанные с выданным продуктом,
